Name,image
Hem/Onc,disease.png (https://v5.airtableusercontent.com/v1/15/15/1680386400000/eAF94L5Q66URguiyfsZb0Q/-WQG2LPiWJNSoN9dUs-JM5W-hfdJCTjnI7hfRUu4RWqvffPjC-fiRE2M8MIAzhtj0SBtG0HwoUdCMpCxLoyX_kX0bZZ24_2b42vtyZUrldU/Ye2o94ulnp9TllGgr2wFY6q3-7Tk8XNJ3oijE90VoSM)
ObGyn,icons8-obstetrical-forceps-64.png (https://v5.airtableusercontent.com/v1/15/15/1680386400000/zIleBpoXOyvGAyYvxEjfkA/jjzu3eLtRiq2uKNjOuLAv8PqTZTLpIB7m7_kr-MsVY1G41vN_z1Wau_4toplgMoaxmzxwqE3APSRjIY3bA8qTHA_jyauGPIjsNGpF0XXAmjpV5XU_jq2rGQsdrrYGN8D/9bU60rhCjlgtR8vlvvgVjjFlaahB3BBLO0UNHJPObjk)
Cardiology,love-wave.png (https://v5.airtableusercontent.com/v1/15/15/1680386400000/abeSHdAxVixPvUkoXjrYNg/XUG502pMTpId8fTdhZBa-kKdNGaTdIYnG-IxxMIv8GhP7E6zVjNJJ8si0HpFn9aESPeBz2Axi1vtkzIWWJ14vnxAU_-cOPvkiW5HXMDx8aM/_XqfO7wDtSshlivuFbhCkeeqy1QM1E_uVTnusGIxt7c)
Gastroenterology,intestine.png (https://v5.airtableusercontent.com/v1/15/15/1680386400000/_Sy-hM10_W1ryuX_LC6qcw/E5ph3Zlv1sv_Qg2SKbIuJKtX8BPdbjtjPZA9jmj15FlHksrisuQjilO6pufAc420suBTgcEjWivN1dfXq1TSfaGuruiBHEwzLMYMzV76Vl4/aSkBhP5ZKUtT56XV3PgqlKk0bfVmD3uOl6GcNWcTAUQ)
Pulmonology,lungs.svg (https://v5.airtableusercontent.com/v1/15/15/1680386400000/cCv_B4PcRRIRvVGILkkCog/zU4Uuu1sVs0h_4rRw2UpAblAkrzs8WETIsW5LV5vyyCwAEu5B1VHpZdtAWLOzobyaKOJ_gZ_dhr1qWuZiUMmqQEBqOTSdrUFJlMVXcraHis/ClXTqV0lts-3sJAhE0_hBuycrY18dXKWYGsd8FUQHnQ)
Endocrinology,icons8-anatomy-96.png (https://v5.airtableusercontent.com/v1/15/15/1680386400000/uXjliD4T3mvyGI3v1ubykw/YpyzaGIdcUdxc7Rnfgonb3fIBA_YcBJla_FYYJiCKoUyEUXLDx0pol9ixt6jz-mwatdtZPHAABVw_P89ZBykwlYExs3PnLJ0nKSC_7TyUvA/vPzgIOxPaOxNo8Bz_7ywyDv7GZ8jk2LCu__z8WKI3T4)
Otolaryngology,icons8-ears-64.png (https://v5.airtableusercontent.com/v1/15/15/1680386400000/8XRgu2qVClN7h2JKtf26Ew/ISD1gzfKhJKkJIQbfjWbKUEaOjr6Kz-JajBWeZ2tJwgB0ZiV88DHpD6ZvRkfC75VGiuXMBAUiR2K7I3rFHV8pPjLnH05EEa8SELGKamqv0U/V0AxlopvREpHv-HDSMfyWSsUUwiaQr49o6Jr_ySxfsI)
Genetics,dna.png (https://v5.airtableusercontent.com/v1/15/15/1680386400000/mLssqGn1ff0Qxpe9C3MoNQ/I_7a1crFA1mBGX-LLG770C2y1jxujgwlrPDPDdUIvUa-MG_3FueB5VaZfAses3LY9g7Ds1pmHbUEvIFZw3Powg/WFUveaWS0hZ7FDm7VRvtRll8neJMFChCwNnd7B4hl1o)
Dermatology,icons8-skin-32.png (https://v5.airtableusercontent.com/v1/15/15/1680386400000/ZYrRLlDCgIf9kq5YxM6JAQ/dySwfcU4UP8DK7CDbc04_v65rdla1SkIM86BY5PpmABmfBp3-WFGdxuztUXck9MUu7AeLuxslKOADF14O_yYlV4ublAdWdwYwkxW0SEjsZI/_ddNT9TUFkFW8kIsKpm3kiZEoNmOLjdmSf9JiVNEt7c)
Allergy/Immunology,icons8-sneezing-in-a-tissue-50.png (https://v5.airtableusercontent.com/v1/15/15/1680386400000/lMhmPQwgEir4mjL577RukQ/VYFK6mDFWdPR5ZDpJmIBnZh4l2egzi9c1rh1kjyyPDU6khqDRox6CjkF_bYb0onJ4AuSyKZZPZgluR-7W8bLvIPnKhvTjmbgn7ogDVctsAar5YjJCcoqCzJDQZKs7Ztg/VtQ1cdMLmiQITJrxDjfl4hXqEebJ70UFEtxSYaOZzcU)
