Name,image
Hem/Onc,disease.png (https://v5.airtableusercontent.com/v1/15/15/1679940000000/Vkz6i7zx2bzq9K7Wdnl35g/n4v_jPmbuUauGAGWQSuWkVevotyXywjTGPQprWywT2Tg0nKLVYDaGNWD6OCFkj2TiOtcAbULOLDu6gZUKMshspQSJq0WUP5qh5kqfsUoro8/h195NCYB5X3VnLCEWdXHhB-AbAQlTgX2vhKQjKIcbJk)
ObGyn,icons8-obstetrical-forceps-64.png (https://v5.airtableusercontent.com/v1/15/15/1679940000000/w_hnomF2j7ZiglbOq1djNQ/hkNvQMtRJsX_UVXJmD5Y74-vfX8E6X09aB_Ggvhhmgy85ZjkZ3GEYc4eKZBefp_DfaaiWhHKkeQpejDHV31RIJYzOIS7ILdvRCWE6whjKoiEbuNE1LDJutUDiyZ5jqLX/FuYBcXTIlr_iEjPqenZwo4dQksT9Lup5HqXLDTmFpCg)
Cardiology,love-wave.png (https://v5.airtableusercontent.com/v1/15/15/1679940000000/YoJo6bRFQVSdCi9r1_ST9Q/otGc5Cplx77PYXh2KKW5S7mo03KRLqzLXxfzLWAnKDWyN-E83ELK1e0bvYx2SWaYVp34CSf68pGd2btdHZPLOhV_mxO0ySMXeKb1h6GDunk/w4giZD42bkkXYRYyrlj-9uBZ-VqdkEsxO4piaxUrsE0)
Gastroenterology,intestine.png (https://v5.airtableusercontent.com/v1/15/15/1679940000000/KiiPPXqw1-pVY8mF1EhuEg/RZcTI_PvCc7DEslLIPzQbxJC1PskfXuxZtj-oCkxjd4E1TDC4NU0A8Fg-A2Ivj2y8g9bBs3xmJhKNiwfiG8N6lmicK5ZKuErsZwYplFM4Eo/Ps2uvbMPvEXhvyaZ6iVp3M3JdYzgz0l_ids48yLLRa4)
Pulmonology,lungs.svg (https://v5.airtableusercontent.com/v1/15/15/1679940000000/Eiix1oMM7Ohof-1WLpIT0w/veEKKUP9Ile8g5mzmcnAooPMkdkyqkul59aEMiffIuyCmNE5g9vgE9o_DXaYgd28ff3ZhU4qhfXGdVG2QimhCW65UNOILw_240aJh_RP5Mw/BKyuw7nzpcPmSJ1s4d8OQ0fIVIhdJvimuXzRxhEIlDs)
Endocrinology,icons8-anatomy-96.png (https://v5.airtableusercontent.com/v1/15/15/1679940000000/CSkFDNY6lbpWgw5Xsy4MCw/2dXIE1mt01V-JwEdxReirP5RDjjvJ19YusUOE9F1MzffM1w1WJlqjkTjqwDDKasczWhwKE16V1_S1cf2zWGumvnqWtNZInvF5wnxPe_XM2U/9B0qJ330SKkYJX_DZQSvFckroysKkAG_uHmZMxIxR4c)
Otolaryngology,icons8-ears-64.png (https://v5.airtableusercontent.com/v1/15/15/1679940000000/6E816miA_iHLcZ71xoCMog/ivqnKRAgjhG4CB8IhaBqVatETuWkQQogk97-A3h8p7xiyNoGOrv3af2GDud4T2N4aM4sKoDSkmEqBhtMu6UXRr3tMVYgcFMUtPOomSCNrtE/whJmt6LgwC5exjj1Jkbo5Fp7Gw1RUfo5oZmBj0LxCkE)
Genetics,dna.png (https://v5.airtableusercontent.com/v1/15/15/1679940000000/Aa1pSZK7RZ6jKq5cWskopQ/Qrj7Jtz7ZMNqAvG0flj-9T1RTjRnYr-tZhsHygm0G5jCVS-AgekkdwgF4acMwTXLTGm49QW_4hILqzMDF7r7YA/h39QuVdt70JK2418LcwWjuOnbFnoQXkhnEe9lXvf-Xs)
Dermatology,icons8-skin-32.png (https://v5.airtableusercontent.com/v1/15/15/1679940000000/s_oA5EZfOFPRxVkD_K3-gw/CkfBYjb2l-wBmllhIkygJjDgTORVAx6T9f_eLdcw7YlJhnNpN_AUBbbRJ_oAoTWhI-4un4PV1_suOuHKT0T49iWLlWh1FsiqErMmHo-s5Eo/I_WejIzAjSxSstwzCErxLbipeSO9MPP4uCSgh6J7sXE)
Allergy/Immunology,icons8-sneezing-in-a-tissue-50.png (https://v5.airtableusercontent.com/v1/15/15/1679940000000/O3QESQ8TmKLfirU3oQ-6Dw/os9eewJzr85Wi5ouVYluH6tVDxfqFC1zLS5c5WS5DlsqlWWiiPfHapkK-n8XxpG4jyg0riuuEl71x-Uzc-blt89F-7-7UdBE-xzr7uOHasJhAbk0AlLdPVbtWDDVDaDS/1HNsHc6bs8PuY1XvL5voPNsWb9MfkPKU0tgkDccFhXc)
