Scrippt Name (Diagnosis),Pediatric/Adult,Category,Pathophysiology,Epidemiology,Signs/Symptoms,Diagnostics,Treatments,Links,Image URL
Hemolytic anemia,Adult,Hem/Onc,"A type of anemia where RBC's are destroyed faster than they can be produced. It is caused by defective RBC membrane, enzyme defects, hemoglobinopathies, or extracellular effects causing RBC's to lyse and shorten their lifespan","Hereditary, Acquired, Gender: Women>Men, Mainly idiopathic, Can be secondary to malignant lymphoproliferative diseases, drugs, and viral infections","Pallor, Tachycardia, Jaundice, Hepatosplenomegaly, Brownish discoloration of urine","Normal MCV, Decreased Hgb/Hct. Increased Retic Ct, Bilirubin (indirect) and LDH. Coomb's Positive.","Transfuse if necessary, important to find and treat underlying cause. ","https://www.aafp.org/afp/2004/0601/p2599.html
https://www.trionds.com/many-types-hemolytic-anemia-must-know/",
Iron-deficiency anemia,Both,Hem/Onc,"insufficient heme production secondary to insufficient iron supplies either due to poor diet, malabsorption, or blood loss","The most common type of anemia, in pediatrics-- excessive milk intake (effects iron-binding site)","Fatigue, Weakness, Dyspnea on exertion, PICA (i.e., craving to eat ice, dirt,etc.), Angular Cheilitis, Koilonychia (spooning of nails)
","Decreased Hgb/Hct, decreased MCV, normal reticulocyte count, Decreased ferritin, Decreased iron, Increased transferrin ","Treat the cause, iron supplementation.",https://www.aafp.org/afp/2013/0115/p98.html,
Hereditary spherocytosis,Adult,Hem/Onc,Genetic defect of RBC membranes resulting in spherical RBCs,"Autosomal dominant inheritance, Prevalent in Northern Europe and Northern America (1 in 5000 or 1 in 2000, respectively)","Pale skin, Fatigue, Anemia, Jaundice, Gallstones, Hepatosplenomegaly","Normal Hgb, Increased MCHC, Increased osmotic fragility US: Hepatosplenomegaly, Blood Smear: Spherocytosis
","Splenectomy, Pneumococcal vaccination",https://www.youtube.com/watch?v=aBrt7XhA9L0,https://assets.aboutkidshealth.ca/akhassets/hereditary_spherocytosis_EN.png?RenditionID=10
 Lead Poisoning Anemia,Adult,Hem/Onc,Inhibition of heme synthesis by lead ingestion,"Half a million children are affected in USA, and is more common in children and pregnant women. ","Fatigue, abdominal pain, short term memory loss, developmental delays, gingival lead lines, peripheral neuropathy (decreased motor control of extremities)","Decreased Hgb/Hct and MCV, increased serum lead, Blood smear shows microcytic RBCs and basophilic stippling of RBCs","Remove source of lead; EDTA or dimercaptosuccinic acid (DMSA)
if needed for lead chelation (add dimercaprol in children with severe lead  intoxication)",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1008379/,
Folate-deficiency,Adult,Hem/Onc,"Anemia caused by folate (vitamin B9) deficiency, secondary to low intake, often along with B12 def. ","More common in low economic countries, Pregnant women, Alcoholics and elderly are at risk","Poor nutrition, fatigue,  dyspnea on exertion, diarrhea, sore
tongue (beefy red); pallor, increased pulse pressures
","Decreased Hgb,  increased MCV, decreased serum folate,
decreased red cell folate level, decreased reticulocyte count
Blood smear: Macrocytic RBCs, hypersegmented neutrophils","Oral folate supplements (1-5mg daily), also must replenish B12 or neurologic symptoms won't improve",https://www.ncbi.nlm.nih.gov/books/NBK535377/,https://external-content.duckduckgo.com/iu/?u=http%3A%2F%2Fwww.youchoimd.com%2Fuploads%2F3%2F0%2F9%2F9%2F30992381%2F805306463.jpg&f=1&nofb=1
B12 Deficiency Anemia,Adult,Hem/Onc,"Lack of Intrinsic Factor (Pernicious Anemia)
Ileal resection (part where b12 is absorbed)
Insufficient dietary intake (vegan)","Vegan, >60 yo","Ataxia, possible dementia, ""beefy""  red tongue","Megaloblastic Anemia. Decreased Hgb,  increased MCV, Macrocytic RBCs, hypersegmented neutrophils","Monthly intramuscular vitamin B12 injections, dietary
supplementation of vitamin B12, intranasal vitamin B12",https://www.hopkinsmedicine.org/health/conditions-and-diseases/vitamin-b12-deficiency-anemia,
Anemia of Chronic Disease,Adult,Hem/Onc,"Trapping of iron in macrophages, decreased erythropoietin production, and increased hepcidin levels","Patients with neoplasia, diabetes mellitus, autoimmune
disorders, or long-standing infections","Chronic disease, fatigue, weakness, dyspnea on exertion, tachycardia, pallor","Mild decrease in Hgb and Hct, normal or decreased MCV, decreased iron, decreased transferrin","Treat the underlying cause, supplemental erythropoietin",,https://www.nejm.org/na101/home/literatum/publisher/mms/journals/content/nejm/2005/nejm_2005.352.issue-10/nejmra041809/production/images/img_medium/nejmra041809_t3.jpeg
Aplastic anemia,Both,Hem/Onc,"Pancytopenia caused by radiation, drugs, toxins, viral infections and congenital disorders resulting in bone marrow failure.",Incidence is 1.5- 1.7 per million cases a year,"Fatigue, persistent infections, poor clotting with possible
uncontrolled bleeding, easy bruising, persistent menstruation, petechiae, tachycardia","Decreased Hgb, decreased white blood cells (WBCs),
decreased platelets, bone marrow biopsy shows hypocellularity and fatty infiltrate","Stop offending agent,  transfusions, immunosuppressants and bone marrow transplant

",https://www.youtube.com/watch?v=b8z4CFstPGQ,
Sideroblastic anemia,Adult,Hem/Onc,"A genetic defect of heme synthesis causing decreased Hgb levels, 10% patients progress to acute leukemia",very rare,"Fatigue, angina; pallor, tachycardia, hepatosplenomegaly, possible systolic murmur","Decreased Hgb, decreased Hct, increased ferritin, increased iron, decreased transferrin, possible decreased MCV, Multiple sizes of RBCs,  ringed sideroblasts (RBC precursors) in the bone marrow ","Hereditary cases: vitamin B6, Acquired cases: supplemental erythropoietin, iron overload requires therapeutic phlebotomy or chelation with deferoxamine ",,
Alpha-Thalassemia,Both,Hem/Onc,"Defective production of heme alpha-globin chain, chronic iron overload.","More prevalent in people of Asian or African descent with variants having one or all the defective alleles
","microcytic anemia, hemolysis, and splenomegaly. Bart's causes fetal hydrops","Decreased MCV, increased reticulocyte count, increased hemoglobin, decreased oxygen releasing ability (Bart's), increased hemoglobin A2 ","Usually asymptomatic, requires treatment in periods of stress, folate supplements, transfusion, iron chelation",https://www.aafp.org/afp/2009/0815/p339.html,
